birth	death	gender	hair	height	name	race	realm	spouse
	March ,3019	Male			Muzgash	Orc		
Late ,Third Age		Male			Targon	Men		
Late ,First Age	FA 460	Male			Radhruin	Men		
					Fuithluin			
TA 2780	TA 2851	Male			Walda	Men		Unnamed wife
Early ,Second Age	Early ,Second Age	Male			Valandil of Andúnië	Men		
Unknown, Awakened in the ,Years of the Trees		Male			Imin	Elves		Iminyë
FA 361	FA 455	Female	Dark brown		Andreth	Men		Loved ,Aegnor, but they never married
TA 1960	TA 2080	Male			Mardil Voronwë	Men		Unnamed wife
TA 2245	TA 2395	Male			Hador (Steward)	Men		Unnamed wife
TA 2783	FO 15	Male	Red, later White		Glóin	Dwarves		Unnamed wife
TA 2856	TA 2948	Female			Donnamira (Took) Boffin	Hobbits		Hugo Boffin
YT		Male			Rúmil (Noldo)	Elves		
Mid ,First Age		Male			Gethron	Men		
FA 500	FA 506	Male	Possibly dark		Eluréd and Elurín	Elves		
TA 2544	TA 2645	Male			Aldor	Men	Rohan	Unnamed wife
					Asgon			
TA 480	TA 748	Male			Atanatar I	Men	Gondor	Unnamed wife
 ,3019	February 293019	Male	Dark	6'1 (film)	Lugdush	Uruk-hai		
Late ,First Age	FA 455	Male			Bregolas	Men		Unnamed wife
SA 840	Mid ,Second Age	Female			Nessanië	Men		
TA 1062	TA 1272	Male			Celebrindor	Men	Arthedain	Unnamed wife
Presumably after Morgoth's return to Angband	FA 501	Male	None	Gigantic	Glaurung	Dragons		None
					Bodruith			
During the ,Noontide of Valinor	FA 587	Male	Dark red	Tall	Maedhros	Elves		None
Before the creation of ,Arda	Immortal	Male		Various	mar	Ainur		None
TA 2757	TA 2912	Male			Argonui	Men		Unnamed wife
TA 2832	TA 2930	Male			Isengrim Took III	Hobbits		Not married
TA 2600	TA 2698	Male			Ecthelion I	Men		Possibly none
TA 3009		Male			Bergil	Men		
Late-,Third Age	February 28 ,3019	Male			Gárulf	Men		
TA 2365	TA 2523	Male			Arahad I	Men		Unnamed wife
